Neighborhood,Sector #,Population (2010),Total # Units (2000),Total # Units (2010),% Occupied Units (2010),% Vacant Units (2010),# Occupied Units (2010),% Owner Occupied Units (2010),% Renter Occupied Units (2010),Est. Avg. Yrs. of Residence (2010),% Living in Household (2010),% Living in Group Quarters (2010),% Units Built 00-09,% Units Built 90-99,% Units Built 80-89,% Units Built 60-79,% Units Built 40-59,% Units Built before 1939,Median Home Value (2008),Med. Val.,Median Home Value,% Change Real Value 2000-2010,Median Sale Price,# Sales Counted,Foreclosures,% of all Housing Units Foreclosed
Point Breeze North,11,2054,1208,1167,0.89,0.11,909,0.395,0.605,3,1,0,0,0.016,0.05,0.048,0.234,0.651,83200,105356,99500,-0.056,57250,24,5,0.004
Polish Hill,13,1274,928,849,0.821,0.179,715,0.557,0.443,8,1,0,0,0.046,0.132,0.012,0.162,0.648,40500,51285,62700,0.223,19900,37,3,0.004
Regent Square,10,928,562,479,0.952,0.048,540,0.756,0.244,8,1,0,0,0,0,0.099,0.091,0.809,113000,143092,196300,0.372,224900,17,2,0.004
Ridgemont,4,483,233,218,0.959,0.041,257,0.763,0.237,13,1,0,0,0,0,0.108,0.744,0.148,70300,89021,90500,0.017,52000,9,0,0
Shadyside,12,13915,8451,8610,0.933,0.067,8185,0.295,0.705,0,0.956,0.044,0.023,0.036,0.09,0.236,0.201,0.415,153560,194453,264860,0.362,247000,204,2,0
Sheraden,4,5299,2621,2509,0.85,0.15,2237,0.648,0.352,7,1,0,0.015,0.02,0.049,0.115,0.191,0.611,50500,63948,61600,-0.037,11500,115,12,0.005
South Oakland,14,2969,1558,1469,0.899,0.101,1134,0.433,0.567,4,0.96,0.04,0.02,0.005,0.104,0.069,0.134,0.668,47700,60403,77200,0.278,93000,51,34,0.023
South Shore,16,19,40,15,0.667,0.333,18,0,1,16,1,0,0,0,0,1,0,0,N/A,N/A,N/A,N/A,200,1,5,0.333
South Side Flats,7,6597,3613,4326,0.873,0.127,3921,0.433,0.567,2,1,0,0.153,0.019,0.01,0.038,0.123,0.657,77100,97632,153750,0.575,174500,158,0,0
South Side Slopes,7,4423,2580,2552,0.835,0.165,2218,0.612,0.388,6,1,0,0.025,0.011,0.017,0.046,0.095,0.806,43700,55337,73050,0.32,47700,113,9,0.004
Spring Garden,1,884,621,552,0.746,0.254,608,0.513,0.487,7,1,0,0,0.018,0.165,0,0.237,0.581,29800,37736,48000,0.272,8252,24,18,0.033
Spring Hill-City View,1,2648,1392,1326,0.875,0.125,1191,0.497,0.503,5,0.956,0.044,0,0,0.084,0.173,0.329,0.414,43700,55337,58900,0.064,11750,42,7,0.005
Squirrel Hill North,10,11363,3969,3892,0.93,0.07,3889,0.592,0.408,6,0.705,0.295,0.018,0.01,0.055,0.122,0.256,0.539,254667,322485,344900,0.07,337500,103,9,0.002
Squirrel Hill South,10,15110,7069,7514,0.946,0.054,7135,0.456,0.544,3,0.959,0.041,0.021,0.018,0.05,0.151,0.267,0.493,134633,170486,201400,0.181,218250,176,2,0
St. Clair,7,209,768,165,0.503,0.497,328,0.445,0.555,9,1,0,0,0,0,0.113,0.549,0.338,45000,56984,41100,-0.279,23000,5,18,0.109
Stanton Heights,13,4601,2142,2223,0.943,0.057,2115,0.819,0.181,10,1,0,0.01,0.011,0.006,0.102,0.558,0.313,66750,84526,86700,0.026,80710,78,1,0
Strip District,13,616,195,473,0.852,0.148,254,0.37,0.63,0,1,0,0,0,0.052,0.129,0.045,0.774,215900,273394,161800,-0.408,250000,17,20,0.042
Summer Hill,1,1051,551,510,0.943,0.057,539,0.647,0.353,5,1,0,0,0.039,0,0.234,0.325,0.403,76100,96365,94400,-0.02,67500,21,0,0
Swisshelm Park,10,1361,627,625,0.963,0.037,608,0.87,0.13,12,1,0,0,0,0,0.164,0.35,0.486,82000,103837,108600,0.046,124000,19,2,0.003
Terrace Village,15,3228,2074,1509,0.839,0.161,1286,0.031,0.969,0,0.634,0.366,0.238,0.198,0.012,0.226,0.211,0.115,54500,69013,59300,-0.141,4658,9,1,0.001
Troy Hill,1,2714,1415,1608,0.839,0.161,1335,0.557,0.443,3,1,0,0.003,0.051,0,0.004,0.064,0.878,43400,54957,52600,-0.043,24900,63,2,0.001
Upper Hill,15,2057,1171,1240,0.819,0.181,924,0.754,0.246,10,1,0,0.009,0.007,0.031,0.078,0.139,0.736,39400,49892,66300,0.329,8003,52,11,0.009
Upper Lawrenceville,13,2669,1504,1442,0.81,0.19,1183,0.606,0.394,5,1,0,0.011,0.006,0.004,0.08,0.102,0.796,35900,45460,48700,0.071,38000,65,7,0.005
West End,4,254,211,165,0.745,0.255,62,0.339,0.661,4,1,0,0,0,0,0.095,0.172,0.733,26800,33937,29800,-0.122,14383,10,8,0.048
West Oakland,14,2604,638,687,0.865,0.135,580,0.384,0.616,2,0.589,0.411,0.102,0.219,0,0.139,0.069,0.471,47500,60149,61100,0.016,66000,17,1,0.001
Westwood,4,3066,1499,1496,0.938,0.062,1470,0.782,0.218,9,1,0,0.007,0.027,0.028,0.253,0.442,0.242,72200,91427,93700,0.025,70000,49,2,0.001
Windgap,4,1369,667,671,0.936,0.064,615,0.911,0.089,13,1,0,0,0.029,0.032,0.401,0.217,0.321,66000,83576,78200,-0.064,59950,22,13,0.019
